1_0_1_11C0_1044_233A_EEEE0000_0_0_0     |  BBC FOUR                          |  11C0_1044_233A_EEEE0000=--------                  |  bbc four=bbcfour
1_0_19_287D_800_2_11A0000_0_0_0         |  BBC Four HD                       |  287D_800_2_11A0000=--------                       |  bbc four hd=bbcfour
1_0_19_289A_800_2_11A0000_0_0_0         |  BBC Four HD                       |  289A_800_2_11A0000=--------                       |  bbc four hd=bbcfour
1_0_19_4680_4084_233A_EEEE0000_0_0_0    |  BBC FOUR HD                       |  4680_4084_233A_EEEE0000=--------                  |  bbc four hd=bbcfour
1_0_19_4A65_807_600_FFFF0000_0_0_0      |  BBC News                          |  4A65_807_600_FFFF0000=--------                    |  bbc news=bbcnews
1_0_1_1100_1044_233A_EEEE0000_0_0_0     |  BBC NEWS                          |  1100_1044_233A_EEEE0000=--------                  |  bbc news=bbcnews
1_0_19_22D9_80D_2_11A0000_0_0_0         |  BBC NEWS HD                       |  22D9_80D_2_11A0000=--------                       |  bbc news hd=bbcnews
1_0_19_4B80_815_600_FFFF0000_0_0_0      |  BBC NL                            |  4B80_815_600_FFFF0000=--------                    |  bbc nl=bbcnl
1_0_19_4E36_802_600_FFFF0000_0_0_0      |  BBC One                           |  4E36_802_600_FFFF0000=--------                    |  bbc one=bbcone
1_0_19_2846_7FE_2_11A0000_0_0_0         |  BBC One CI HD                     |  2846_7FE_2_11A0000=--------                       |  bbc one ci hd=bbcone
1_0_19_2885_800_2_11A0000_0_0_0         |  BBC One EastHD                    |  2885_800_2_11A0000=--------                       |  bbc one easthd=bbcone
1_0_19_2886_800_2_11A0000_0_0_0         |  BBC One EMidHD                    |  2886_800_2_11A0000=--------                       |  bbc one emidhd=bbcone
1_0_1_1044_1044_233A_EEEE0000_0_0_0     |  BBC ONE Lon                       |  1044_1044_233A_EEEE0000=--------                  |  bbc one lon=bbcone
1_0_19_287B_800_2_11A0000_0_0_0         |  BBC One Lon HD                    |  287B_800_2_11A0000=--------                       |  bbc one lon hd=bbcone
1_0_19_4480_4084_233A_EEEE0000_0_0_0    |  BBC ONE Lon HD                    |  4480_4084_233A_EEEE0000=--------                  |  bbc one lon hd=bbcone
1_0_19_18A7_7FD_2_11A0000_0_0_0         |  BBC One NE HD                     |  18A7_7FD_2_11A0000=--------                       |  bbc one ne hd=bbcone
1_0_19_1B1F_802_2_11A0000_0_0_0         |  BBC One NI HD                     |  1B1F_802_2_11A0000=--------                       |  bbc one ni hd=bbconenorthernireland
1_0_19_1B33_802_2_11A0000_0_0_0         |  BBC One NI HD                     |  1B33_802_2_11A0000=--------                       |  bbc one ni hd=bbconenorthernireland
1_0_19_18BB_7FD_2_11A0000_0_0_0         |  BBC One NW HD                     |  18BB_7FD_2_11A0000=--------                       |  bbc one nw hd=bbcone
1_0_19_22C5_80D_2_11A0000_0_0_0         |  BBC One ScotHD                    |  22C5_80D_2_11A0000=--------                       |  bbc one scothd=bbconescotland
1_0_19_1B13_802_2_11A0000_0_0_0         |  BBC One SE HD                     |  1B13_802_2_11A0000=--------                       |  bbc one se hd=bbcone
